uber_cost,taxi_cost
59.04,60.01
103.75,102.28
177.91,178.81
20.68,25.48
20.78,23.01
86.12,84.77
97.39,97.7
7.3,11.52
89.34,89.94
108.68,109.49
45.34,42.33
93.57,95.85
167.05,165.36
82.49,78.12
10.95,11.03
84.93,85.51
28.31,28.81
169.03,174.76
65.25,65.47
108.62,110.04
11.66,13.68
37.09,35.51
60.25,63.88
105.08,101.88
148.53,149.13
102.95,97.84
130.38,131.77
120.48,117.52
5.07,8.99
136.74,135.53
124.51,121.35
135.25,133.68
49.34,53.73
171.68,169.4
165.42,164.61
21.7,16.61
14.12,12.14
179.29,179.92
128.32,125.22
169.51,169.19
80.87,82.0
194.07,194.76
159.24,159.58
16.06,17.64
65.24,66.8
173.42,168.35
195.38,195.4
193.29,194.33
137.13,139.24
90.35,88.29
89.31,89.93
177.12,178.03
64.64,63.81
129.83,126.03
116.19,116.9
133.03,135.86
91.58,89.74
192.54,193.11
189.65,192.23
105.85,101.56
58.53,60.7
121.16,123.59
33.64,37.89
28.58,25.19
111.74,108.6
50.92,50.38
166.18,165.11
137.44,139.58
150.86,149.65
83.42,85.33
25.39,24.0
30.35,29.27
64.32,61.1
153.12,154.0
50.84,50.07
68.87,66.26
134.62,138.52
82.05,83.0
107.38,105.52
108.16,105.28
6.75,7.48
63.95,63.3
8.98,12.83
102.93,102.7
152.67,156.08
182.69,178.92
72.82,72.93
170.39,166.9
52.46,53.74
169.51,166.24
155.23,152.71
27.23,27.39
139.71,135.14
202.78,197.81
175.57,174.46
23.99,24.63
84.39,79.85
39.49,42.17
78.06,79.31
45.65,47.28
108.69,108.55
187.14,188.93
14.58,13.9
162.67,160.01
36.03,34.08
138.85,138.69
116.16,116.97
8.55,7.61
85.36,83.95
13.96,11.99
123.11,127.09
194.5,193.5
178.73,181.83
30.38,30.72
88.8,88.99
103.56,107.51
113.78,114.95
31.46,27.61
154.17,154.69
156.15,158.78
46.21,49.76
44.59,48.39
89.65,90.64
181.65,180.68
7.21,6.84
101.29,99.89
52.99,48.33
59.97,60.36
162.53,162.77
61.84,60.35
69.19,70.29
9.05,11.25
146.2,142.84
9.11,8.25
190.7,187.76
38.84,37.07
157.3,162.71
191.43,192.34
24.83,21.62
81.4,78.47
52.5,50.25
40.36,40.59
168.6,169.98
94.05,91.29
60.74,60.89
127.59,129.07
30.39,29.52
133.29,134.57
65.67,63.75
65.43,64.56
191.1,192.45
13.14,8.79
18.87,19.8
114.18,113.34
14.73,16.84
167.47,169.27
36.48,36.74
202.74,200.93
67.69,67.12
8.18,10.21
198.41,200.48
127.6,128.65
22.63,20.91
163.92,162.03
180.87,179.24
87.11,87.31
126.1,126.79
88.12,86.0
197.3,202.59
87.04,85.89
65.53,64.71
119.97,121.32
137.61,135.75
154.2,154.97
90.12,89.44
64.21,66.32
74.3,75.98
142.76,143.3
71.33,70.94
117.5,115.82
185.84,185.63
25.53,26.18
62.14,60.51
195.42,195.81
178.58,183.0
159.96,157.33
98.76,98.22
95.99,98.24
89.85,94.21
181.65,180.19
55.71,53.14
167.34,169.22
111.21,111.52
81.66,85.98
158.46,162.72
9.25,7.63
17.68,17.37
57.67,56.51
98.73,98.48
96.59,92.06
176.76,179.28
91.58,89.48
30.86,26.74
124.77,125.45
113.38,116.37
62.02,64.15
39.34,36.16
22.32,24.67
53.43,50.66
120.02,117.35
17.17,19.81
109.01,107.28
40.26,41.14
82.15,85.8
144.32,143.22
31.12,31.29
184.61,187.55
143.56,144.32
19.27,19.38
29.8,32.08
59.1,59.64
160.0,154.61
133.81,135.35
138.14,136.65
80.51,85.19
41.84,37.53
36.97,36.5
195.94,195.28
111.99,108.37
41.2,44.48
28.37,28.13
56.04,52.38
186.7,184.48
31.57,30.05
37.22,34.43
136.95,131.75
54.71,53.49
197.63,199.42
155.3,156.55
127.52,126.98
120.23,120.99
116.98,119.23
180.47,182.61
90.76,89.95
23.19,22.61
128.74,128.79
168.69,173.43
202.67,202.94
14.42,15.45
70.79,73.73
161.53,163.16
114.59,113.02
134.9,133.58
