trip_duration,trip_distance,PULocationID,DOLocationID,time_stamp,weekday,month
1073,8,239,47,58,5,12
1865,13.8,219,226,12,2,12
1423,16,38,184,10,3,12
2171,16.1,10,170,59,4,12
987,3.8,254,78,56,7,12
796,2.1,121,28,109,3,12
2467,19.2,203,229,138,7,12
2129,15.8,29,49,96,2,12
2427,24.9,23,74,108,3,12
2097,16.1,147,195,12,2,12
3613,39,5,159,9,3,12
442,1.1,151,238,128,6,12
1939,17.6,140,219,58,1,12
2194,16.8,80,108,54,4,12
2915,17.4,187,225,71,1,12
2360,17.8,96,151,21,2,12
1438,8.2,207,152,51,4,12
1039,8.4,70,9,51,6,12
1269,8.2,127,141,67,7,12
1552,8.7,94,151,142,3,12
1481,10,263,217,44,7,12
1063,7.8,76,203,132,5,12
2440,12.9,193,85,142,3,12
1404,8,69,185,118,3,12
1773,13,54,41,17,1,12
3021,26.8,81,71,82,6,12
3035,27.5,126,150,122,4,12
1010,2.4,114,170,37,1,12
1015,6,32,200,66,2,12
1475,12.8,107,131,124,1,12
2721,14.2,190,122,7,5,12
2441,21.8,228,102,25,5,12
1892,18.3,79,251,59,2,12
2975,24.7,43,210,53,3,12
1052,6.7,40,148,19,4,12
3309,24,109,164,129,7,12
2085,12.2,180,229,45,5,12
2117,15,251,249,127,5,12
2606,19.6,94,35,102,2,12
2423,23.1,201,138,116,1,12
1514,6,24,158,31,1,12
2101,14.8,158,182,105,7,12
1587,11.5,224,21,100,6,12
1020,2.9,49,255,113,2,12
1743,13.7,107,20,87,4,12
2289,15.6,14,236,89,7,12
2513,18.9,226,172,78,7,12
817,2.7,253,53,101,4,12
1635,6.4,33,246,65,2,12
1646,12.6,210,258,24,3,12
1825,15.6,158,29,103,1,12
3010,26.2,165,183,94,5,12
2036,10.6,198,261,131,4,12
2166,13.5,98,237,48,5,12
1809,15.6,65,136,19,1,12
3222,28.5,184,22,18,6,12
1620,13.5,69,16,102,7,12
1234,3.2,113,48,119,5,12
2307,18.3,181,127,74,6,12
1831,14.4,131,86,84,3,12
1933,15.9,257,42,100,5,12
2887,21.9,128,14,45,6,12
1203,6.4,146,253,11,4,12
896,2.2,68,211,122,4,12
3162,26.5,221,9,32,6,12
1175,6.7,9,205,116,5,12
1381,8,14,210,29,6,12
2524,26.2,48,118,69,6,12
2854,24,84,85,122,1,12
772,3.6,8,41,111,2,12
1698,15.6,15,229,139,3,12
717,2.5,180,96,136,2,12
1460,14.1,18,98,128,4,12
1696,14.7,135,54,142,6,12
1910,17.6,50,46,101,6,12
1692,10.3,192,62,26,4,12
1665,9.3,167,239,33,2,12
2022,15.1,2,253,116,3,12
1698,10.8,210,227,100,7,12
983,3.6,7,141,143,4,12
808,3,258,124,122,7,12
1678,11.3,251,21,119,5,12
1637,13.8,120,56,77,3,12
1187,6.6,43,8,80,1,12
2265,15.1,237,165,117,6,12
1073,7.1,112,70,1,2,12
3548,27.6,117,246,109,7,12
1791,7.2,178,61,98,2,12
1232,6.2,107,80,39,7,12
1687,14.2,201,67,79,1,12
2016,15.4,109,1,120,4,12
1381,12.2,220,138,105,4,12
761,5.2,124,132,42,7,12
1071,10.9,157,208,121,5,12
1899,14.3,159,54,15,1,12
2391,18.3,246,210,30,6,12
1876,9.7,24,157,91,1,12
849,5.4,22,6,8,6,12
1321,8.6,219,56,106,7,12
1111,3.5,145,90,82,7,12
1436,10.5,162,248,37,6,12
1264,8.6,140,125,71,2,12
1760,12.7,235,107,134,5,12
1453,10.7,244,53,14,1,12
2975,38.3,44,139,138,6,12
1579,12.9,220,233,74,3,12
1856,16,64,220,76,6,12
1486,12.7,43,58,107,1,12
759,4.6,263,224,135,3,12
1186,8.9,164,138,131,7,12
2506,21.1,228,47,108,1,12
3193,17.9,30,113,29,6,12
2706,31.7,78,23,41,2,12
2005,22.2,195,124,137,7,12
4085,35.9,110,259,112,6,12
703,3.1,106,133,66,1,12
2118,12.3,37,147,115,5,12
1444,12.4,77,19,11,7,12
2119,17.8,74,76,94,7,12
3421,19,230,117,93,7,12
2579,26.5,74,156,53,5,12
1924,15.6,244,34,50,2,12
2845,24.2,220,76,15,6,12
538,1.7,130,10,4,5,12
2009,11.6,246,253,51,6,12
3427,27.5,109,207,24,2,12
2813,26.4,256,84,39,3,12
1915,17.2,96,169,109,6,12
3637,28.9,109,199,17,6,12
2165,17.7,227,135,44,7,12
342,1.1,242,32,11,7,12
1382,11.2,50,212,104,1,12
776,6.1,9,56,1,4,12
3435,29,187,9,10,4,12
2577,21.7,14,248,25,2,12
1537,18.3,44,67,60,1,12
1199,3.1,256,114,37,3,12
1559,6.8,151,4,67,5,12
2445,21.4,149,122,35,1,12
2063,15.9,49,78,57,4,12
1414,11.9,137,128,38,1,12
1463,10.5,137,190,49,2,12
2826,25.3,121,245,46,7,12
2071,22.6,40,1,108,4,12
673,2.2,78,32,39,3,12
2918,17.4,221,48,2,2,12
1290,11.9,152,184,91,5,12
1732,10.7,231,160,47,1,12
1011,9,101,219,97,7,12
1698,12,42,66,131,5,12
1122,6,13,164,135,5,12
2482,20.1,30,227,91,6,12
1379,6.1,152,141,68,3,12
2238,14.1,1,148,76,7,12
1806,12.8,53,49,118,4,12
3019,29.6,201,147,60,4,12
2390,18.6,209,10,89,1,12
1697,15.2,153,232,126,3,12
3144,29.4,206,142,49,7,12
2394,17.6,37,128,51,1,12
1931,16.6,235,261,104,2,12
2002,12.5,133,161,48,7,12
1739,14.6,218,250,143,1,12
952,5.9,212,247,108,5,12
2401,16.3,252,188,139,1,12
2042,15.8,216,133,134,5,12
1276,7.5,238,94,45,2,12
1039,5.7,261,111,26,7,12
1568,13.5,167,175,87,2,12
2592,10,85,202,143,5,12
1369,9,53,20,116,5,12
695,2,107,229,72,6,12
2583,24.2,129,201,87,1,12
888,3.9,126,47,109,7,12
851,5.2,23,172,16,3,12
1434,11.1,75,160,123,1,12
1797,5.4,40,35,7,1,12
2093,18.4,143,173,100,5,12
2855,17.6,218,125,52,4,12
1005,5.5,73,160,54,7,12
2050,14.5,51,146,78,5,12
2968,32.1,136,156,109,6,12
1568,14.7,262,16,108,4,12
1023,4,211,233,95,4,12
1799,11.2,189,179,63,3,12
3102,28.6,91,119,107,5,12
1687,15.5,115,155,109,4,12
1662,14.7,27,10,64,4,12
1690,10.4,161,235,5,7,12
752,3.6,32,59,53,7,12
1221,9.9,207,47,24,7,12
2543,21.4,30,182,116,4,12
2135,17,43,96,119,2,12
2467,24.8,175,6,94,5,12
1342,12.4,101,213,21,5,12
1867,15.4,171,128,100,4,12
2565,17.1,191,249,95,2,12
2151,19.4,75,203,51,6,12
1393,10,112,98,58,5,12
1678,8.7,34,230,85,6,12
